OrderID,Product,QuantityOrdered,PriceEach,Street,City,ZIP,Month,Hour,OrderDateTime
141234,iPhone,1,700,944 Walnut St,Boston (MA),02215,Jan,21,2019-01-22T21:25:00Z
141235,Lightning Charging Cable,1,14.95,185 Maple St,Portland (OR),97035,Jan,14,2019-01-28T14:15:00Z
141236,Wired Headphones,2,11.99,538 Adams St,San Francisco (CA),94016,Jan,13,2019-01-17T13:33:00Z
141237,27in FHD Monitor,1,149.99,738 10th St,Los Angeles (CA),90001,Jan,20,2019-01-05T20:33:00Z
141238,Wired Headphones,1,11.99,387 10th St,Austin (TX),73301,Jan,11,2019-01-25T11:59:00Z
141239,AAA Batteries (4-pack),1,2.99,775 Willow St,San Francisco (CA),94016,Jan,20,2019-01-29T20:22:00Z
141240,27in 4K Gaming Monitor,1,389.99,979 Park St,Los Angeles (CA),90001,Jan,12,2019-01-26T12:16:00Z
141241,USB-C Charging Cable,1,11.95,181 6th St,San Francisco (CA),94016,Jan,12,2019-01-05T12:04:00Z
141242,Bose SoundSport Headphones,1,99.99,867 Willow St,Los Angeles (CA),90001,Jan,10,2019-01-01T10:30:00Z
141243,Apple Airpods Headphones,1,150,657 Johnson St,San Francisco (CA),94016,Jan,21,2019-01-22T21:20:00Z
141244,Apple Airpods Headphones,1,150,492 Walnut St,San Francisco (CA),94016,Jan,11,2019-01-07T11:29:00Z
141245,Macbook Pro Laptop,1,1700,322 6th St,San Francisco (CA),94016,Jan,10,2019-01-31T10:12:00Z
141246,AAA Batteries (4-pack),3,2.99,618 7th St,Los Angeles (CA),90001,Jan,18,2019-01-09T18:57:00Z
141247,27in FHD Monitor,1,149.99,512 Wilson St,San Francisco (CA),94016,Jan,19,2019-01-25T19:19:00Z
141248,Flatscreen TV,1,300,363 Spruce St,Austin (TX),73301,Jan,21,2019-01-03T21:54:00Z
141249,27in FHD Monitor,1,149.99,440 Cedar St,Portland (OR),97035,Jan,17,2019-01-05T17:20:00Z
141250,Vareebadd Phone,1,400,471 Center St,Los Angeles (CA),90001,Jan,11,2019-01-10T11:20:00Z
141251,Apple Airpods Headphones,1,150,414 Walnut St,Boston (MA),02215,Jan,8,2019-01-24T08:13:00Z
141252,USB-C Charging Cable,1,11.95,220 9th St,Los Angeles (CA),90001,Jan,9,2019-01-30T09:28:00Z
141253,AA Batteries (4-pack),1,3.84,385 11th St,Atlanta (GA),30301,Jan,0,2019-01-17T00:09:00Z
141254,AAA Batteries (4-pack),1,2.99,238 Sunset St,Seattle (WA),98101,Jan,11,2019-01-08T11:51:00Z
141255,USB-C Charging Cable,1,11.95,764 11th St,Los Angeles (CA),90001,Jan,20,2019-01-09T20:55:00Z
141256,Google Phone,1,600,675 Washington St,Portland (OR),97035,Jan,10,2019-01-29T10:40:00Z
141257,Apple Airpods Headphones,1,150,338 Highland St,San Francisco (CA),94016,Jan,18,2019-01-12T18:51:00Z
141258,AA Batteries (4-pack),1,3.84,820 1st St,San Francisco (CA),94016,Jan,21,2019-01-19T21:47:00Z
141259,AAA Batteries (4-pack),2,2.99,920 Adams St,San Francisco (CA),94016,Jan,17,2019-01-20T17:26:00Z
141260,AAA Batteries (4-pack),1,2.99,293 Hill St,San Francisco (CA),94016,Jan,22,2019-01-01T22:00:00Z
141261,USB-C Charging Cable,1,11.95,840 Lincoln St,Atlanta (GA),30301,Jan,18,2019-01-09T18:14:00Z
141262,AAA Batteries (4-pack),1,2.99,291 Lincoln St,San Francisco (CA),94016,Jan,12,2019-01-16T12:35:00Z
141263,Bose SoundSport Headphones,1,99.99,640 Spruce St,Boston (MA),02215,Jan,23,2019-01-11T23:33:00Z
141264,Apple Airpods Headphones,1,150,937 Highland St,New York City (NY),10001,Jan,9,2019-01-03T09:46:00Z
141265,Apple Airpods Headphones,1,150,853 Ridge St,Boston (MA),02215,Jan,16,2019-01-01T16:52:00Z
